condition,variant,size,h_plan,lam,t_reeval,n_seeds,scr,fht,dead_loop_rate,new_states_per_step,success_rate,pe_nav,pe_search,pe_acquire,dscr_vs_flat,dfht_vs_flat,dscr_vs_random,dfht_vs_random
layered_lam0_h20_tnever,B,10,20,0.0,,12,0.425,58.83,0.0783,0.4282,0.5,0.951,0.943,0.6018,0.0417,-55.37,0.0067,-46.17
layered_lam0_h50_t10,B,10,50,0.0,10,12,0.4942,69.57,0.1027,0.4667,0.5833,0.9722,0.8647,0.8704,0.1108,-44.63,0.0758,-35.43
layered_lam0_h50_t25,B,10,50,0.0,25,12,0.4942,69.57,0.1027,0.4667,0.5833,0.9722,0.8647,0.8704,0.1108,-44.63,0.0758,-35.43
layered_lam0_h50_tnever,B,10,50,0.0,,12,0.4942,69.57,0.1027,0.4667,0.5833,0.9722,0.8647,0.8704,0.1108,-44.63,0.0758,-35.43
layered_lam1_h100_t10,B,10,100,1.0,10,12,0.4792,69.5,0.126,0.5205,0.6667,0.9375,0.9246,0.9931,0.0958,-44.7,0.0608,-35.5
layered_lam1_h100_t25,B,10,100,1.0,25,12,0.4792,69.5,0.126,0.5205,0.6667,0.9375,0.9246,0.9931,0.0958,-44.7,0.0608,-35.5
layered_lam1_h100_tnever,B,10,100,1.0,,12,0.4792,69.5,0.126,0.5205,0.6667,0.9375,0.9246,0.9931,0.0958,-44.7,0.0608,-35.5
layered_lam1_h20_t10,B,10,20,1.0,10,12,0.4575,70.14,0.1038,0.4576,0.5833,0.9261,0.9246,0.9931,0.0742,-44.06,0.0392,-34.86
layered_lam1_h20_t25,B,10,20,1.0,25,12,0.4575,70.14,0.1038,0.4576,0.5833,0.9261,0.9246,0.9931,0.0742,-44.06,0.0392,-34.86
layered_lam1_h20_tnever,B,10,20,1.0,,12,0.4575,70.14,0.1038,0.4576,0.5833,0.9261,0.9246,0.9931,0.0742,-44.06,0.0392,-34.86
layered_lam1_h50_t10,B,10,50,1.0,10,12,0.4792,69.5,0.126,0.5205,0.6667,0.9371,0.9246,0.9931,0.0958,-44.7,0.0608,-35.5
